,comment,label
0,Merkel would never say NO,2
1,"Expect more and more women to be asking .. ""why are men no longer interested in me"" We're not going touch you until you pull our pants down",2
2,"Groping people in public wasn't already illegal? What's up with that, Deutschland?",0
3,"Merkel, possible the only person in charge who is worse than what we have. Obama is trying his hardest though to get to Merkel's level. ""A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" Sounds exactly like how Obama is trying to let all of the black people in this country get away with everything.",2
4,"They know very well, no means NO They need to pass a law making it legal to castrate those animals.",2
5,look like merkel just want to get laid,2
6,""" but criticized two measures in the bill that could see people who aren't directly involved in the assault punished and foreigners deported for sexual harassment"" Sounds like some German Legislators have the same mental disease the Democrats and Republicans who opposed Kate's Law had. Deporting people who are not citizens for acting like savages - how cruel (sarcasm)",2
7,"She said ""GO"", not ""NO"" ~ ~ Slime ball Lawyers everywhere.",0
8,"So, how many sexual assaults would there be if Muslims were burned in ovens?",2
9,Probably a lot less. What's your point?,2
10,"In true liberal fashion, an ordinance that no means no, was passed. That will end all rapes by muslimes in Fatherland.",2
11,The Russians raped millions of German women and children at the end of WWII. Now the German people have to contend with this bunch of savages? How pathetic is it that a country has to cow-tow to a hoard of uncivilized migrants. Take your country back Germany.,2
12,"Great, now lets have a talk with Africa.",2
13,"Imagine that, Muslims are the problem...?",2
14,A one-year suspended sentence? Wow. That's really harsh.,0
15,Even though the woman was lying about the whole thing....LOL,0
16,You mean all 50?,0
17,"This will work great, just like the bracelets they handed out that said don't touch me. Liebrals will never learn. hahahahahahaha",2
18,"Just say ""No."" Yeah that'll stop those nasty rapists, especially the Muslims.",2
19,"How does one say ""NO"" in Arabic ?",2
20,"No idea, but an M16A4 will translate any language into Arabic.",2
21,GLOCK,2
22,"Women aren't allowed to say ""NO"" in arab countries.",2
23,7.62 x 39 mm,2
24,I think it sounds the same as an M4 bolt chambering a round.,2
25,My Lilly Esin once in a blue moon got a new choice of the crop Chevrolet Corvette Stingray Coupe by unavailable off of a laptop... Flash it out.,0
26,"That's it pass more laws, you know cause paper and ink prevents crime.",0
27,"Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing.",0
28,no habla deutch.... No means white chicks want you more in Arabic mongrelland German politicians that approved of the refugee invaders are responsible for each and every crime committed by these mongrels German citizens should kick all politicians and refugee invaders OUT.,2
29,"German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.",2
30,is she related to BroBama ?,0
31,when no doesn't work...it is advisable to have some way to protect yourself,0
32,"How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN""",2
33,"don't think so because these muzzieazzholes are battle-hardened, decades of being kicked by sheep and goats made them numb",2
34,A really sharp knife and it will only happen once ...............,2
35,"Germany, another of those wonderful liberal socialist countries where citizens can't carry guns...",0
37,Merkels legacy. soon to come to your city.,0
38,"We're armed, Rufus",2
39,Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.,0
40,STUPID Politicians seeking relevancy to the stupid sheeple,0
41,"Learn to read. Previous law required a victim to put up a physical struggle before the rapist could be prosecuted.. The new law only requires her to say ""no"".",0
42,So if they are alone who has to prove it was said?,0
43,Government is the impossibility of reason........... Platoon,0
44,The Germans invited this filth into their once-great nation by electing Merkel -- and handed law and order over to the EU bureaucrats in Brussels. Now they are too timid to take their country back.,2
45,"Until the whole world recognizes Islam for what it is, HATE SPEECH, this type of barbarism will only go on. The Muslims feel it is their right to obey only the laws that they agree with. Sexist attitudes against women are a core belief of Islam.",2
46,"If Islam was only hate speech, they wouldn't be a problem, just an annoyance. Unfortunately Islam preaches, teaches, demands, applauds and rewards violent behavior. That is much worse than speech.",2
47,If it's not written in Sharia law (and it's NOT) then they (Muslims) ultimately won't care.,2
48,It's a shame that you have no idea what you are talking about.,0
49,"Why are liberals always against deporting foreign criminals? They must support their crimes, I guess.",0
50,"Liberal elites -- insulated from these crimes -- don't care if we get hurt, just so they can feel all tolerant and all.",0
51,Liberals are always pandering for votes from criminals.,0
52,The only thing musIims understand clearly is a good azzkicking.,2
53,"The law wasnt the problem, its the rapist members of a peaceful religion.",2
54,neuter rapists,0
55,Yes please.,0
56,That includes Bill Clinton and Bill Cosby,0
57,"The Germans better realize real quick that you can't put a ""no means no"" law in sharia law.",2
58,"How about ""Just say no more muslims"" ?",2
59,You can expel the Muslims too. That's the problem. They don't care about your laws.,2
60,"Of course no means no. But not to a mooh-slum. Germany allowed these terrorist into their country, now live with it.",2
61,I get the impression that the German people really didn't have much of a say in it. Just another of example of Merkel/Obama progressivness.,0
62,"No say? They elected Merkel, in large numbers.",0
63,"No the people didn't the LOUSY LEADER DID, just like ODUMBO IS DOING HERE",0
64,There is no law that will civilize the uncivilized.,2
65,So Americans will never improve then..,0
66,This law will work,0
67,"Except in Germany, where Colt, Browning, Luger, et al. are not allowed to practice their function.",0
68,"Yes there is, it's called capital punishment.",0
69,"The problem was never the law or lack of a law, it was the immigrants the politicians let into the country.",2
70,And its the reason-one of them anyway that some Muzlim countries do not even allow one of these scumbags into their country. NOT ONE They knew what would happen with these uncivilized animals and what they would do and they did exactly that to the women -young girls- and even have raped men. They should never be allowed out of their sand boxes.,2
71,"That just isn't going to work. How many different languages do German women need to learn to say ""no"" in? I'd assume Arabic would be a key one.",2
72,hot high speed lead is an international language,2
73,They should allow the German women weapons to protect themselves.,0
74,"Or......fathers, brothers, cousins of the women should protect them. How about that?",0
75,Sounds like Islam...a woman cannot leave her house unless accompanied by a male relative.,0
76,Then let them get raped. I don't really care. Go near one of the women in my family though. Different story.,2
77,"If in an Islamic country the raped woman is considered to have dishonored her family and subject to beatings by her family if not subjected to an ""honor killing"".",0
78,Add to that....if they do protect the women--there should be no prosecution for them for what they do to these scumbags.,0
79,This is a religion that condones the treating of women as chattel. You let them into your country. What did you expect??,2
80,"Saying ""no"" does not stop rapists. Keeping droves of men with ""raping"" mentality out of the country and arming people for self defense will help curb the rapes.",2
81,You can make all the laws you want. They won't control savages. You can dress an animal up like a man; it doesn't make it a man.,2
82,See NFL,0
83,if u have a job...do it right. they are in demand now and we don't need blackasses acting like monkeys. GIT ur ACT TOGETHER.,2
84,"""No"" should have always meant no. Just enforce laws and stop procrastinating and avoiding doing your job",0
85,"And this is the vaunted ""European Society"" America's liberals want us to emulate?",0
86,Feel the bern,0
87,"Bernie can feel himself, thank you.",0
88,doesn't remember where it is..,0
89,"""On Thursday, a local court in Cologne handed down the first conviction for a sexual offense on New Year's Eve. A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" That is some aggressive sentencing there, I am absolutely certain that will deter such behavior from them in the future.",0
90,"This would be a very reasonable sentence if it had one caveat, namely, boiling these subhuman scumbags in pig blood.",2
91,It's about time Good lord,0
92,"Instead of passing these silly laws, just get rid of the sand knee grows",2
93,???,0
94,we need to dig him up,0
95,Merkel let these slugs in for the sake of 'humanity' with zero vetting. How about protecting your own citizens for a change?,0
96,Merkel is a human failure in every sense.,0
97,"In the US, gun control is not the answer...BLACK control is the ANSWER.",2
98,Too things I hate the most. Hoplophobes and Racists.,0
99,"""Too?"". Better add grammar checkers to your list.",0
100,what's a hoplophobe? someone that hates bunnies?,0
101,"I am all for gun control - use both hands, aim center mass, squeeze slowly.",0
102,Another civilized country being destroyed by brown invaders.,2
103,Hundreds of women were raped and molested in the New Year's Eve travesty. And only ONE conviction so far? This only became a problem when Germany opened its borders to hordes of women-hating Muslims.,2
104,"And he was given a one year, suspended sentence. Hardly a deterrent.",0
